pclass,survived,gender,age,sibsp,parch,fare,embarked
1,1,female,29.0,0,0,211.34,S
1,1,male,0.9167,1,2,151.55,S
1,0,female,2.0,1,2,151.55,S
1,0,male,30.0,1,2,151.55,S
1,0,female,25.0,1,2,151.55,S
1,1,male,48.0,0,0,26.55,S
1,1,female,63.0,1,0,77.96,S
1,0,male,39.0,0,0,0.0,S
1,1,female,53.0,2,0,51.48,S
1,0,male,71.0,0,0,49.5,C
1,0,male,47.0,1,0,227.53,C
1,1,female,18.0,1,0,227.53,C
1,1,female,24.0,0,0,69.3,C
1,1,female,26.0,0,0,78.85,S
1,1,male,80.0,0,0,30.0,S
1,0,male,,0,0,25.93,S
1,0,male,24.0,0,1,247.52,C
1,1,female,50.0,0,1,247.52,C
1,1,female,32.0,0,0,76.29,C
1,0,male,36.0,0,0,75.24,C
1,1,male,37.0,1,1,52.55,S
1,1,female,47.0,1,1,52.55,S
1,1,male,26.0,0,0,30.0,C
1,1,female,42.0,0,0,227.53,C
1,1,female,29.0,0,0,221.78,S
1,0,male,25.0,0,0,26.0,C
1,1,male,25.0,1,0,91.08,C
1,1,female,19.0,1,0,91.08,C
1,1,female,35.0,0,0,135.63,S
1,1,male,28.0,0,0,26.55,S
1,0,male,45.0,0,0,35.5,S
1,1,male,40.0,0,0,31.0,C
1,1,female,30.0,0,0,164.87,S
1,1,female,58.0,0,0,26.55,S
1,0,male,42.0,0,0,26.55,S
1,1,female,45.0,0,0,262.38,C
1,1,female,22.0,0,1,55.0,S
1,1,male,,0,0,26.55,S
1,0,male,41.0,0,0,30.5,S
1,0,male,48.0,0,0,50.5,C
1,0,male,,0,0,39.6,C
1,1,female,44.0,0,0,27.72,C
1,1,female,59.0,2,0,51.48,S
1,1,female,60.0,0,0,76.29,C
1,1,female,41.0,0,0,134.5,C
1,0,male,45.0,0,0,26.55,S
1,0,male,,0,0,31.0,S
1,1,male,42.0,0,0,26.29,S
1,1,female,53.0,0,0,27.45,C
1,1,male,36.0,0,1,512.33,C
1,1,female,58.0,0,1,512.33,C
1,0,male,33.0,0,0,5.0,S
1,0,male,28.0,0,0,47.1,S
1,0,male,17.0,0,0,47.1,S
1,1,male,11.0,1,2,120.0,S
1,1,female,14.0,1,2,120.0,S
1,1,male,36.0,1,2,120.0,S
1,1,female,36.0,1,2,120.0,S
1,0,male,49.0,0,0,26.0,S
1,1,female,,0,0,27.72,C
1,0,male,36.0,1,0,78.85,S
1,1,female,76.0,1,0,78.85,S
1,0,male,46.0,1,0,61.18,S
1,1,female,47.0,1,0,61.18,S
1,1,male,27.0,1,0,53.1,S
1,1,female,33.0,1,0,53.1,S
1,1,female,36.0,0,0,262.38,C
1,1,female,30.0,0,0,86.5,S
1,1,male,45.0,0,0,29.7,C
1,1,female,,0,1,55.0,S
1,0,male,,0,0,0.0,S
1,0,male,27.0,1,0,136.78,C
1,1,female,26.0,1,0,136.78,C
1,1,female,22.0,0,0,151.55,S
1,0,male,,0,0,52.0,S
1,0,male,47.0,0,0,25.59,S
1,1,female,39.0,1,1,83.16,C
1,0,male,37.0,1,1,83.16,C
1,1,female,64.0,0,2,83.16,C
1,1,female,55.0,2,0,25.7,S
1,0,male,,0,0,26.55,S
1,0,male,70.0,1,1,71.0,S
1,1,female,36.0,0,2,71.0,S
1,1,female,64.0,1,1,26.55,S
1,0,male,39.0,1,0,71.28,C
1,1,female,38.0,1,0,71.28,C
1,1,male,51.0,0,0,26.55,S
1,1,male,27.0,0,0,30.5,S
1,1,female,33.0,0,0,151.55,S
1,0,male,31.0,1,0,52.0,S
1,1,female,27.0,1,2,52.0,S
1,1,male,31.0,1,0,57.0,S
1,1,female,17.0,1,0,57.0,S
1,1,male,53.0,1,1,81.86,S
1,1,male,4.0,0,2,81.86,S
1,1,female,54.0,1,1,81.86,S
1,0,male,50.0,1,0,106.43,C
1,1,female,27.0,1,1,247.52,C
1,1,female,48.0,1,0,106.43,C
1,1,female,48.0,1,0,39.6,C
1,1,male,49.0,1,0,56.93,C
1,0,male,39.0,0,0,29.7,C
1,1,female,23.0,0,1,83.16,C
1,1,female,38.0,0,0,227.53,C
1,1,female,54.0,1,0,78.27,C
1,0,female,36.0,0,0,31.68,C
1,0,male,,0,0,221.78,S
1,1,female,,0,0,31.68,S
1,1,female,,0,0,110.88,C
1,1,male,36.0,0,0,26.39,S
1,0,male,30.0,0,0,27.75,C
1,1,female,24.0,3,2,263.0,S
1,1,female,28.0,3,2,263.0,S
1,1,female,23.0,3,2,263.0,S
1,0,male,19.0,3,2,263.0,S
1,0,male,64.0,1,4,263.0,S
1,1,female,60.0,1,4,263.0,S
1,1,female,30.0,0,0,56.93,C
1,0,male,,0,0,26.55,S
1,1,male,50.0,2,0,133.65,S
1,1,male,43.0,1,0,27.72,C
1,1,female,,1,0,133.65,S
1,1,female,22.0,0,2,49.5,C
1,1,male,60.0,1,1,79.2,C
1,1,female,48.0,1,1,79.2,C
1,0,male,,0,0,0.0,S
1,0,male,37.0,1,0,53.1,S
1,1,female,35.0,1,0,53.1,S
1,0,male,47.0,0,0,38.5,S
1,1,female,35.0,0,0,211.5,C
1,1,female,22.0,0,1,59.4,C
1,1,female,45.0,0,1,59.4,C
1,0,male,24.0,0,0,79.2,C
1,1,male,49.0,1,0,89.1,C
1,1,female,,1,0,89.1,C
1,0,male,71.0,0,0,34.65,C
1,1,male,53.0,0,0,28.5,C
1,1,female,19.0,0,0,30.0,S
1,0,male,38.0,0,1,153.46,S
1,1,female,58.0,0,1,153.46,S
1,1,male,23.0,0,1,63.36,C
1,1,female,45.0,0,1,63.36,C
1,0,male,46.0,0,0,79.2,C
1,1,male,25.0,1,0,55.44,C
1,1,female,25.0,1,0,55.44,C
1,1,male,48.0,1,0,76.73,C
1,1,female,49.0,1,0,76.73,C
1,0,male,,0,0,42.4,S
1,0,male,45.0,1,0,83.48,S
1,1,female,35.0,1,0,83.48,S
1,0,male,40.0,0,0,0.0,S
1,1,male,27.0,0,0,76.73,C
1,1,male,,0,0,30.0,S
1,1,female,24.0,0,0,83.16,C
1,0,male,55.0,1,1,93.5,S
1,1,female,52.0,1,1,93.5,S
1,0,male,42.0,0,0,42.5,S
1,0,male,,0,0,51.86,S
1,0,male,55.0,0,0,50.0,S
1,1,female,16.0,0,1,57.98,C
1,1,female,44.0,0,1,57.98,C
1,1,female,51.0,1,0,77.96,S
1,0,male,42.0,1,0,52.0,S
1,1,female,35.0,1,0,52.0,S
1,1,male,35.0,0,0,26.55,C
1,1,male,38.0,1,0,90.0,S
1,0,male,,0,0,30.7,C
1,1,female,35.0,1,0,90.0,S
1,0,female,50.0,0,0,28.71,C
1,1,male,49.0,0,0,0.0,S
1,0,male,46.0,0,0,26.0,S
1,0,male,50.0,0,0,26.0,S
1,0,male,32.5,0,0,211.5,C
1,0,male,58.0,0,0,29.7,C
1,0,male,41.0,1,0,51.86,S
1,1,female,,1,0,51.86,S
1,1,male,42.0,1,0,52.55,S
1,1,female,45.0,1,0,52.55,S
1,0,male,,0,0,26.55,S
1,1,female,39.0,0,0,211.34,S
1,1,female,49.0,0,0,25.93,S
1,1,female,30.0,0,0,106.43,C
1,1,male,35.0,0,0,512.33,C
1,0,male,,0,0,27.72,C
1,0,male,42.0,0,0,26.55,S
1,1,female,55.0,0,0,27.72,C
1,1,female,16.0,0,1,39.4,S
1,1,female,51.0,0,1,39.4,S
1,0,male,29.0,0,0,30.0,S
1,1,female,21.0,0,0,77.96,S
1,0,male,30.0,0,0,45.5,S
1,1,female,58.0,0,0,146.52,C
1,1,female,15.0,0,1,211.34,S
1,0,male,30.0,0,0,26.0,S
1,1,female,16.0,0,0,86.5,S
1,1,male,,0,0,29.7,C
1,0,male,19.0,1,0,53.1,S
1,1,female,18.0,1,0,53.1,S
1,1,female,24.0,0,0,49.5,C
1,0,male,46.0,0,0,75.24,C
1,0,male,54.0,0,0,51.86,S
1,1,male,36.0,0,0,26.29,S
1,0,male,28.0,1,0,82.17,C
1,1,female,,1,0,82.17,C
1,0,male,65.0,0,0,26.55,S
1,0,male,44.0,2,0,90.0,Q
1,1,female,33.0,1,0,90.0,Q
1,1,female,37.0,1,0,90.0,Q
1,1,male,30.0,1,0,57.75,C
1,0,male,55.0,0,0,30.5,S
1,0,male,47.0,0,0,42.4,S
1,0,male,37.0,0,1,29.7,C
1,1,female,31.0,1,0,113.28,C
1,1,female,23.0,1,0,113.28,C
1,0,male,58.0,0,2,113.28,C
1,1,female,19.0,0,2,26.28,S
1,0,male,64.0,0,0,26.0,S
1,1,female,39.0,0,0,108.9,C
1,1,male,,0,0,25.74,C
1,1,female,22.0,0,1,61.98,C
1,0,male,65.0,0,1,61.98,C
1,0,male,28.5,0,0,27.72,C
1,0,male,,0,0,0.0,S
1,0,male,45.5,0,0,28.5,S
1,0,male,23.0,0,0,93.5,S
1,0,male,29.0,1,0,66.6,S
1,1,female,22.0,1,0,66.6,S
1,0,male,18.0,1,0,108.9,C
1,1,female,17.0,1,0,108.9,C
1,1,female,30.0,0,0,93.5,S
1,1,male,52.0,0,0,30.5,S
1,0,male,47.0,0,0,52.0,S
1,1,female,56.0,0,1,83.16,C
1,0,male,38.0,0,0,0.0,S
1,1,male,,0,0,39.6,S
1,0,male,22.0,0,0,135.63,C
1,0,male,,0,0,227.53,C
1,1,female,43.0,0,1,211.34,S
1,0,male,31.0,0,0,50.5,S
1,1,male,45.0,0,0,26.55,S
1,0,male,,0,0,50.0,S
1,1,female,33.0,0,0,27.72,C
1,0,male,46.0,0,0,79.2,C
1,0,male,36.0,0,0,40.13,C
1,1,female,33.0,0,0,86.5,S
1,0,male,55.0,1,0,59.4,C
1,1,female,54.0,1,0,59.4,C
1,0,male,33.0,0,0,26.55,S
1,1,male,13.0,2,2,262.38,C
1,1,female,18.0,2,2,262.38,C
1,1,female,21.0,2,2,262.38,C
1,0,male,61.0,1,3,262.38,C
1,1,female,48.0,1,3,262.38,C
1,1,male,,0,0,30.5,S
1,1,female,24.0,0,0,69.3,C
1,1,male,,0,0,26.0,S
1,1,female,35.0,1,0,57.75,C
1,1,female,30.0,0,0,31.0,C
1,1,male,34.0,0,0,26.55,S
1,1,female,40.0,0,0,153.46,S
1,1,male,35.0,0,0,26.29,S
1,0,male,50.0,1,0,55.9,S
1,1,female,39.0,1,0,55.9,S
1,1,male,56.0,0,0,35.5,C
1,1,male,28.0,0,0,35.5,S
1,0,male,56.0,0,0,26.55,S
1,0,male,56.0,0,0,30.7,C
1,0,male,24.0,1,0,60.0,S
1,0,male,,0,0,26.0,S
1,1,female,18.0,1,0,60.0,S
1,1,male,24.0,1,0,82.27,S
1,1,female,23.0,1,0,82.27,S
1,1,male,6.0,0,2,134.5,C
1,1,male,45.0,1,1,134.5,C
1,1,female,40.0,1,1,134.5,C
1,0,male,57.0,1,0,146.52,C
1,1,female,,1,0,146.52,C
1,1,male,32.0,0,0,30.5,C
1,0,male,62.0,0,0,26.55,S
1,1,male,54.0,1,0,55.44,C
1,1,female,43.0,1,0,55.44,C
1,1,female,52.0,1,0,78.27,C
1,0,male,,0,0,27.72,C
1,0,male,67.0,1,0,221.78,S
1,0,female,63.0,1,0,221.78,S
1,0,male,61.0,0,0,32.32,S
1,1,female,48.0,0,0,25.93,S
1,1,female,18.0,0,2,79.65,S
1,0,male,52.0,1,1,79.65,S
1,1,female,39.0,1,1,79.65,S
1,1,male,48.0,1,0,52.0,S
1,1,female,,1,0,52.0,S
1,0,male,49.0,1,1,110.88,C
1,1,male,17.0,0,2,110.88,C
1,1,female,39.0,1,1,110.88,C
1,1,female,,0,0,79.2,C
1,1,male,31.0,0,0,28.54,C
1,0,male,40.0,0,0,27.72,C
1,0,male,61.0,0,0,33.5,S
1,0,male,47.0,0,0,34.02,S
1,1,female,35.0,0,0,512.33,C
1,0,male,64.0,1,0,75.25,C
1,1,female,60.0,1,0,75.25,C
1,0,male,60.0,0,0,26.55,S
1,0,male,54.0,0,1,77.29,S
1,0,male,21.0,0,1,77.29,S
1,1,female,55.0,0,0,135.63,C
1,1,female,31.0,0,2,164.87,S
1,0,male,57.0,1,1,164.87,S
1,1,female,45.0,1,1,164.87,S
1,0,male,50.0,1,1,211.5,C
1,0,male,27.0,0,2,211.5,C
1,1,female,50.0,1,1,211.5,C
1,1,female,21.0,0,0,26.55,S
1,0,male,51.0,0,1,61.38,C
1,1,male,21.0,0,1,61.38,C
1,0,male,,0,0,35.0,S
1,1,female,31.0,0,0,134.5,C
1,1,male,,0,0,35.5,S
1,0,male,62.0,0,0,26.55,S
1,1,female,36.0,0,0,135.63,C
2,0,male,30.0,1,0,24.0,C
2,1,female,28.0,1,0,24.0,C
2,0,male,30.0,0,0,13.0,S
2,0,male,18.0,0,0,11.5,S
2,0,male,25.0,0,0,10.5,S
2,0,male,34.0,1,0,26.0,S
2,1,female,36.0,1,0,26.0,S
2,0,male,57.0,0,0,13.0,S
2,0,male,18.0,0,0,11.5,S
2,0,male,23.0,0,0,10.5,S
2,1,female,36.0,0,0,13.0,S
2,0,male,28.0,0,0,10.5,S
2,0,male,51.0,0,0,12.53,S
2,1,male,32.0,1,0,26.0,S
2,1,female,19.0,1,0,26.0,S
2,0,male,28.0,0,0,26.0,S
2,1,male,1.0,2,1,39.0,S
2,1,female,4.0,2,1,39.0,S
2,1,female,12.0,2,1,39.0,S
2,1,female,36.0,0,3,39.0,S
2,1,male,34.0,0,0,13.0,S
2,1,female,19.0,0,0,13.0,S
2,0,male,23.0,0,0,13.0,S
2,0,male,26.0,0,0,13.0,S
2,0,male,42.0,0,0,13.0,S
2,0,male,27.0,0,0,13.0,S
2,1,female,24.0,0,0,13.0,S
2,1,female,15.0,0,2,39.0,S
2,0,male,60.0,1,1,39.0,S
2,1,female,40.0,1,1,39.0,S
2,1,female,20.0,1,0,26.0,S
2,0,male,25.0,1,0,26.0,S
2,1,female,36.0,0,0,13.0,S
2,0,male,25.0,0,0,13.0,S
2,0,male,42.0,0,0,13.0,S
2,1,female,42.0,0,0,13.0,S
2,1,male,0.8333,0,2,29.0,S
2,1,male,26.0,1,1,29.0,S
2,1,female,22.0,1,1,29.0,S
2,1,female,35.0,0,0,21.0,S
2,0,male,,0,0,0.0,S
2,0,male,19.0,0,0,13.0,S
2,0,female,44.0,1,0,26.0,S
2,0,male,54.0,1,0,26.0,S
2,0,male,52.0,0,0,13.5,S
2,0,male,37.0,1,0,26.0,S
2,0,female,29.0,1,0,26.0,S
2,1,female,25.0,1,1,30.0,S
2,1,female,45.0,0,2,30.0,S
2,0,male,29.0,1,0,26.0,S
2,1,female,28.0,1,0,26.0,S
2,0,male,29.0,0,0,10.5,S
2,0,male,28.0,0,0,13.0,S
2,1,male,24.0,0,0,10.5,S
2,1,female,8.0,0,2,26.25,S
2,0,male,31.0,1,1,26.25,S
2,1,female,31.0,1,1,26.25,S
2,1,female,22.0,0,0,10.5,S
2,0,female,30.0,0,0,13.0,S
2,0,female,,0,0,21.0,S
2,0,male,21.0,0,0,11.5,S
2,0,male,,0,0,0.0,S
2,1,male,8.0,1,1,36.75,S
2,0,male,18.0,0,0,73.5,S
2,1,female,48.0,0,2,36.75,S
2,1,female,28.0,0,0,13.0,S
2,0,male,32.0,0,0,13.0,S
2,0,male,17.0,0,0,73.5,S
2,0,male,29.0,1,0,27.72,C
2,1,female,24.0,1,0,27.72,C
2,0,male,25.0,0,0,31.5,S
2,0,male,18.0,0,0,73.5,S
2,1,female,18.0,0,1,23.0,S
2,1,female,34.0,0,1,23.0,S
2,0,male,54.0,0,0,26.0,S
2,1,male,8.0,0,2,32.5,S
2,0,male,42.0,1,1,32.5,S
2,1,female,34.0,1,1,32.5,S
2,1,female,27.0,1,0,13.86,C
2,1,female,30.0,1,0,13.86,C
2,0,male,23.0,0,0,13.0,S
2,0,male,21.0,0,0,13.0,S
2,0,male,18.0,0,0,13.0,S
2,0,male,40.0,1,0,26.0,S
2,1,female,29.0,1,0,26.0,S
2,0,male,18.0,0,0,10.5,S
2,0,male,36.0,0,0,13.0,S
2,0,male,,0,0,0.0,S
2,0,female,38.0,0,0,13.0,S
2,0,male,35.0,0,0,26.0,S
2,0,male,38.0,1,0,21.0,S
2,0,male,34.0,1,0,21.0,S
2,1,female,34.0,0,0,13.0,S
2,0,male,16.0,0,0,26.0,S
2,0,male,26.0,0,0,10.5,S
2,0,male,47.0,0,0,10.5,S
2,0,male,21.0,1,0,11.5,S
2,0,male,21.0,1,0,11.5,S
2,0,male,24.0,0,0,13.5,S
2,0,male,24.0,0,0,13.0,S
2,0,male,34.0,0,0,13.0,S
2,0,male,30.0,0,0,13.0,S
2,0,male,52.0,0,0,13.0,S
2,0,male,30.0,0,0,13.0,S
2,1,male,0.6667,1,1,14.5,S
2,1,female,24.0,0,2,14.5,S
2,0,male,44.0,0,0,13.0,S
2,1,female,6.0,0,1,33.0,S
2,0,male,28.0,0,1,33.0,S
2,1,male,62.0,0,0,10.5,S
2,0,male,30.0,0,0,10.5,S
2,1,female,7.0,0,2,26.25,S
2,0,male,43.0,1,1,26.25,S
2,1,female,45.0,1,1,26.25,S
2,1,female,24.0,1,2,65.0,S
2,1,female,24.0,1,2,65.0,S
2,0,male,49.0,1,2,65.0,S
2,1,female,48.0,1,2,65.0,S
2,1,female,55.0,0,0,16.0,S
2,0,male,24.0,2,0,73.5,S
2,0,male,32.0,2,0,73.5,S
2,0,male,21.0,2,0,73.5,S
2,0,female,18.0,1,1,13.0,S
2,1,female,20.0,2,1,23.0,S
2,0,male,23.0,2,1,11.5,S
2,0,male,36.0,0,0,13.0,S
2,1,female,54.0,1,3,23.0,S
2,0,male,50.0,0,0,13.0,S
2,0,male,44.0,1,0,26.0,S
2,1,female,29.0,1,0,26.0,S
2,0,male,21.0,0,0,73.5,S
2,1,male,42.0,0,0,13.0,S
2,0,male,63.0,1,0,26.0,S
2,0,female,60.0,1,0,26.0,S
2,0,male,33.0,0,0,12.28,S
2,1,female,17.0,0,0,10.5,S
2,0,male,42.0,1,0,27.0,S
2,1,female,24.0,2,1,27.0,S
2,0,male,47.0,0,0,15.0,S
2,0,male,24.0,2,0,31.5,S
2,0,male,22.0,2,0,31.5,S
2,0,male,32.0,0,0,10.5,S
2,1,female,23.0,0,0,13.79,C
2,0,male,34.0,1,0,26.0,S
2,1,female,24.0,1,0,26.0,S
2,0,female,22.0,0,0,21.0,S
2,1,female,,0,0,12.35,Q
2,0,male,35.0,0,0,12.35,Q
2,1,female,45.0,0,0,13.5,S
2,0,male,57.0,0,0,12.35,Q
2,0,male,,0,0,0.0,S
2,0,male,31.0,0,0,10.5,S
2,0,female,26.0,1,1,26.0,S
2,0,male,30.0,1,1,26.0,S
2,0,male,,0,0,10.71,Q
2,1,female,1.0,1,2,41.58,C
2,1,female,3.0,1,2,41.58,C
2,0,male,25.0,1,2,41.58,C
2,1,female,22.0,1,2,41.58,C
2,1,female,17.0,0,0,12.0,C
2,1,female,,0,0,33.0,S
2,1,female,34.0,0,0,10.5,S
2,0,male,36.0,0,0,12.88,C
2,0,male,24.0,0,0,10.5,S
2,0,male,61.0,0,0,12.35,Q
2,0,male,50.0,1,0,26.0,S
2,1,female,42.0,1,0,26.0,S
2,0,female,57.0,0,0,10.5,S
2,0,male,,0,0,15.05,C
2,1,male,1.0,0,2,37.0,C
2,0,male,31.0,1,1,37.0,C
2,1,female,24.0,1,1,37.0,C
2,0,male,,0,0,15.58,C
2,0,male,30.0,0,0,13.0,S
2,0,male,40.0,0,0,16.0,S
2,0,male,32.0,0,0,13.5,S
2,0,male,30.0,0,0,13.0,S
2,0,male,46.0,0,0,26.0,S
2,1,female,13.0,0,1,19.5,S
2,1,female,41.0,0,1,19.5,S
2,1,male,19.0,0,0,10.5,S
2,0,male,39.0,0,0,13.0,S
2,0,male,48.0,0,0,13.0,S
2,0,male,70.0,0,0,10.5,S
2,0,male,27.0,0,0,13.0,S
2,0,male,54.0,0,0,14.0,S
2,0,male,39.0,0,0,26.0,S
2,0,male,16.0,0,0,10.5,S
2,0,male,62.0,0,0,9.69,Q
2,0,male,32.5,1,0,30.07,C
2,1,female,14.0,1,0,30.07,C
2,1,male,2.0,1,1,26.0,S
2,1,male,3.0,1,1,26.0,S
2,0,male,36.5,0,2,26.0,S
2,0,male,26.0,0,0,13.0,S
2,0,male,19.0,1,1,36.75,S
2,0,male,28.0,0,0,13.5,S
2,1,male,20.0,0,0,13.86,C
2,1,female,29.0,0,0,10.5,S
2,0,male,39.0,0,0,13.0,S
2,1,male,22.0,0,0,10.5,S
2,1,male,,0,0,13.86,C
2,0,male,23.0,0,0,10.5,S
2,1,male,29.0,0,0,13.86,C
2,0,male,28.0,0,0,10.5,S
2,0,male,,0,0,0.0,S
2,1,female,50.0,0,1,26.0,S
2,0,male,19.0,0,0,10.5,S
2,0,male,,0,0,15.05,C
2,0,male,41.0,0,0,13.0,S
2,1,female,21.0,0,1,21.0,S
2,1,female,19.0,0,0,26.0,S
2,0,male,43.0,0,1,21.0,S
2,1,female,32.0,0,0,13.0,S
2,0,male,34.0,0,0,13.0,S
2,1,male,30.0,0,0,12.74,C
2,0,male,27.0,0,0,15.03,C
2,1,female,2.0,1,1,26.0,S
2,1,female,8.0,1,1,26.0,S
2,1,female,33.0,0,2,26.0,S
2,0,male,36.0,0,0,10.5,S
2,0,male,34.0,1,0,21.0,S
2,1,female,30.0,3,0,21.0,S
2,1,female,28.0,0,0,13.0,S
2,0,male,23.0,0,0,15.05,C
2,1,male,0.8333,1,1,18.75,S
2,1,male,3.0,1,1,18.75,S
2,1,female,24.0,2,3,18.75,S
2,1,female,50.0,0,0,10.5,S
2,0,male,19.0,0,0,10.5,S
2,1,female,21.0,0,0,10.5,S
2,0,male,26.0,0,0,13.0,S
2,0,male,25.0,0,0,13.0,S
2,0,male,27.0,0,0,26.0,S
2,1,female,25.0,0,1,26.0,S
2,1,female,18.0,0,2,13.0,S
2,1,female,20.0,0,0,36.75,S
2,1,female,30.0,0,0,13.0,S
2,0,male,59.0,0,0,13.5,S
2,1,female,30.0,0,0,12.35,Q
2,0,male,35.0,0,0,10.5,S
2,1,female,40.0,0,0,13.0,S
2,0,male,25.0,0,0,13.0,S
2,0,male,41.0,0,0,15.05,C
2,0,male,25.0,0,0,10.5,S
2,0,male,18.5,0,0,13.0,S
2,0,male,14.0,0,0,65.0,S
2,1,female,50.0,0,0,10.5,S
2,0,male,23.0,0,0,13.0,S
2,1,female,28.0,0,0,12.65,S
2,1,female,27.0,0,0,10.5,S
2,0,male,29.0,1,0,21.0,S
2,0,female,27.0,1,0,21.0,S
2,0,male,40.0,0,0,13.0,S
2,1,female,31.0,0,0,21.0,S
2,0,male,30.0,1,0,21.0,S
2,0,male,23.0,1,0,10.5,S
2,1,female,31.0,0,0,21.0,S
2,0,male,,0,0,0.0,S
2,1,female,12.0,0,0,15.75,S
2,1,female,40.0,0,0,15.75,S
2,1,female,32.5,0,0,13.0,S
2,0,male,27.0,1,0,26.0,S
2,1,female,29.0,1,0,26.0,S
2,1,male,2.0,1,1,23.0,S
2,1,female,4.0,1,1,23.0,S
2,1,female,29.0,0,2,23.0,S
2,1,female,0.9167,1,2,27.75,S
2,1,female,5.0,1,2,27.75,S
2,0,male,36.0,1,2,27.75,S
2,1,female,33.0,1,2,27.75,S
2,0,male,66.0,0,0,10.5,S
2,0,male,,0,0,12.88,S
2,1,male,31.0,0,0,13.0,S
2,1,male,,0,0,13.0,S
2,1,female,26.0,0,0,13.5,S
2,0,female,24.0,0,0,13.0,S
3,0,male,42.0,0,0,7.55,S
3,0,male,13.0,0,2,20.25,S
3,0,male,16.0,1,1,20.25,S
3,1,female,35.0,1,1,20.25,S
3,1,female,16.0,0,0,7.65,S
3,1,male,25.0,0,0,7.65,S
3,1,male,20.0,0,0,7.93,S
3,1,female,18.0,0,0,7.23,C
3,0,male,30.0,0,0,7.25,S
3,0,male,26.0,0,0,8.05,S
3,0,female,40.0,1,0,9.48,S
3,1,male,0.8333,0,1,9.35,S
3,1,female,18.0,0,1,9.35,S
3,1,male,26.0,0,0,18.79,C
3,0,male,26.0,0,0,7.89,S
3,0,male,20.0,0,0,7.93,S
3,0,male,24.0,0,0,7.05,S
3,0,male,25.0,0,0,7.05,S
3,0,male,35.0,0,0,8.05,S
3,0,male,18.0,0,0,8.3,S
3,0,male,32.0,0,0,22.53,S
3,1,female,19.0,1,0,7.85,S
3,0,male,4.0,4,2,31.28,S
3,0,female,6.0,4,2,31.28,S
3,0,female,2.0,4,2,31.28,S
3,1,female,17.0,4,2,7.93,S
3,0,female,38.0,4,2,7.78,S
3,0,female,9.0,4,2,31.28,S
3,0,female,11.0,4,2,31.28,S
3,0,male,39.0,1,5,31.28,S
3,1,male,27.0,0,0,7.8,S
3,0,male,26.0,0,0,7.78,S
3,0,female,39.0,1,5,31.28,S
3,0,male,20.0,0,0,7.85,S
